"time","AT","BE","DE","DK","ES","FI","FR","GB","IE","IT","LU","NL","NO","PL","RO","SE"
"2003-12-01 00:00:00",131.94953799999985,259.99157499999995,227.10097400000012,243.22937199999998,291.69956100000013,215.35127999999995,261.76465899999977,325.20089399999966,305.02967500000017,155.91363399999994,270.8460999999998,240.14402600000008,340.5848139999995,177.3856089999999,81.852801,291.6213319999996,
"2004-01-01 00:00:00",166.097539,300.48953999999986,285.53794700000003,308.34180699999996,306.31292200000007,376.4661059999998,313.90305400000005,326.98175499999996,281.58876200000014,254.51259900000002,323.7627570000004,278.39786199999986,319.6036399999999,243.05903599999976,108.67196699999992,419.5779909999999,
"2004-02-01 00:00:00",183.4214419999999,369.19090999999986,255.62502799999996,258.0146220000001,299.53984599999995,282.35974000000004,381.1631960000004,384.756327,324.2691750000004,238.71794800000032,363.30032200000016,320.2439979999999,330.9591919999998,173.34806900000027,131.6287730000001,312.98847099999995,
"2004-03-01 00:00:00",248.54873000000018,326.2895069999997,233.6681010000003,232.56801900000002,290.93058999999977,235.92863200000025,270.0269640000004,330.22393400000004,253.800284,170.07314300000016,292.23027000000013,280.9033610000005,254.90368199999992,226.65594099999993,194.7024430000001,286.03228499999983,
"2004-04-01 00:00:00",168.1157259999999,239.2176820000003,235.70384800000016,249.85464899999982,294.07267099999973,240.60584600000007,262.2828040000003,292.1074989999999,291.37355499999956,183.28748599999997,270.87502499999994,228.65303400000002,286.6782899999997,206.08231100000043,154.1765540000001,331.9576719999999,
"2004-05-01 00:00:00",118.28398699999981,163.76966400000015,158.04511000000008,186.22395699999993,359.02301699999936,171.06956100000002,215.69597700000014,246.4866820000001,239.289899,172.63034199999998,254.80805999999993,157.94815699999978,271.52963900000003,133.300842,94.81505800000005,241.7367129999999,
"2004-06-01 00:00:00",103.40687999999993,110.93584500000011,127.54139699999999,207.00580099999988,230.81491199999994,223.68339500000002,171.2256890000002,166.181918,122.92012600000005,141.23198399999998,153.60064100000002,110.5718100000001,251.58765900000014,137.252663,102.70811800000003,301.88576199999983,
"2004-07-01 00:00:00",75.726067,161.81504700000013,165.25129499999994,201.43875500000019,224.18824500000002,186.0868619999998,166.68032699999986,221.90674900000016,187.59893300000007,100.19851099999997,185.5520969999998,157.94873399999994,193.6228120000001,138.7608439999998,102.027594,291.36931399999963,
"2004-08-01 00:00:00",90.18556899999992,139.82385300000004,114.98124899999983,139.30492100000004,197.77258199999991,205.63270699999995,166.4590959999998,181.02775600000004,142.42231399999994,96.58411000000005,201.53641499999975,124.50739700000008,177.39913700000014,111.81009500000002,75.56291300000008,215.3240239999997,
"2004-09-01 00:00:00",109.19786099999988,193.8301840000001,171.91182699999993,180.579716,232.25003299999977,223.84843200000014,221.43676300000004,240.45646500000007,156.86387900000003,96.50189299999992,256.46572000000003,183.41244300000005,198.45267000000015,114.14859600000001,83.88067599999982,235.29941600000004,
"2004-10-01 00:00:00",132.51591299999995,286.3294379999998,264.22972700000025,317.2477060000004,237.14156999999997,270.40030799999994,252.9053330000002,334.83171099999976,281.5027630000001,84.74951099999997,282.29440100000045,267.3976190000004,317.22458800000015,142.2080509999999,86.84934800000012,327.17826699999983,
"2004-11-01 00:00:00",108.51699599999995,319.0230279999997,273.31967000000003,309.61704099999986,360.49148000000025,213.00638900000004,337.9889200000002,342.5350639999999,289.9965580000004,79.87581100000001,303.9892389999999,289.5550339999998,368.00971400000026,170.92676899999987,91.37678299999996,363.408812,
"2004-12-01 00:00:00",199.17991600000005,210.69250600000018,233.00134799999984,283.64569900000026,268.35278500000015,288.6151030000004,197.55352499999992,298.238622,215.6142570000002,197.1806250000002,209.70218900000015,208.59341599999985,312.28654800000027,211.39483399999983,162.8888610000001,338.7179980000001,
"2005-01-01 00:00:00",122.95661899999993,231.3279360000001,247.967483,315.97977700000007,245.58327500000019,329.4577909999997,241.9447999999999,343.0435879999998,320.4532340000003,234.61485700000006,236.98423700000006,226.14087599999996,341.22146599999974,176.8722769999997,75.852183,367.2896910000006,
"2005-02-01 00:00:00",259.196424,411.34551899999985,429.1154580000001,465.1597390000002,353.05776,329.48962099999994,374.0388239999996,506.52103800000015,439.5028489999994,194.6159050000004,374.1229549999996,399.91533699999945,457.1403130000001,273.96139300000004,146.1142260000003,443.03066399999955,
"2005-03-01 00:00:00",153.2408089999998,260.5588300000001,254.95950799999994,291.1107290000001,293.462402,312.1359909999999,256.34323099999995,325.481598,244.37530199999983,231.85567599999973,242.09497800000014,250.27156399999973,277.7955189999996,147.920478,82.40961499999989,337.12370399999986,
"2005-04-01 00:00:00",170.17350000000005,254.39192799999998,244.97794499999998,239.50721499999995,322.60517900000013,241.4204079999999,227.53802600000012,324.8634029999998,242.27460900000023,139.2356050000001,242.60418599999977,243.28036000000012,253.04989899999984,206.4317320000001,152.2687199999998,260.6107769999999,
"2005-05-01 00:00:00",85.10614999999997,161.60491499999992,160.42285299999983,189.4511930000002,300.57187700000003,234.2576179999999,195.71572500000008,260.4621210000002,222.42963799999978,182.81184999999974,198.74016900000018,154.55614299999985,244.4952390000001,111.04352499999997,124.22853899999991,250.95873700000013,
"2005-06-01 00:00:00",111.87579499999983,218.082513,140.29659300000014,197.91046399999976,260.39426499999973,264.65324399999986,224.1450119999998,267.6893900000004,226.1242919999999,123.47934999999997,214.43632500000004,181.38210199999995,247.29954900000007,116.74089699999985,87.60497999999987,214.23730299999983,
"2005-07-01 00:00:00",87.16020599999997,148.826365,122.07013500000008,186.24523300000013,216.8116800000001,216.95425300000014,163.0841659999999,178.37782600000014,144.3327519999999,84.19071999999996,146.01773599999996,129.14422000000013,239.84048700000025,110.57354099999989,102.125572,245.59006000000042,
"2005-08-01 00:00:00",104.47647899999983,137.02261199999992,122.60565900000005,136.4223020000001,273.3284430000002,136.243982,192.21459,191.357414,132.13892399999997,115.49542599999998,211.12287600000002,127.01798799999993,174.1012159999999,106.53327100000004,60.38129000000002,179.29904600000012,
"2005-09-01 00:00:00",116.11991999999988,151.6393769999999,149.11697700000008,193.1929690000001,302.71687799999967,275.7547189999999,163.44504799999973,221.83556299999978,144.60647300000016,138.95431800000017,201.66881699999973,147.22621700000008,239.38535299999987,119.26234400000007,76.64526199999996,244.5594979999998,
"2005-10-01 00:00:00",81.1809079999999,151.09655999999984,130.41377200000014,188.5626600000002,186.29809199999974,346.77161500000017,151.8205390000001,260.1657599999999,228.78515300000012,98.54302299999995,173.81827300000012,140.469609,309.64395899999965,105.1285990000001,38.475743,246.4253510000001,
"2005-11-01 00:00:00",141.68022499999987,237.88475099999974,204.98742400000006,218.33025100000003,331.47077499999966,365.72363699999954,256.2487349999999,324.7809740000002,286.1895069999999,98.40709400000007,317.4522320000003,221.72182099999998,332.4324809999999,160.39227500000004,139.66921099999996,289.7850879999999,
